"Date","Temp"
"1981-01-01",20.7
"1981-01-02",17.9
"1981-01-03",18.8
"1981-01-04",14.6
"1981-01-05",15.8
"1981-01-06",15.8
"1981-01-07",15.8
"1981-01-08",17.4
"1981-01-09",21.8
"1981-01-10",20.0
"1981-01-11",16.2
"1981-01-12",13.3
"1981-01-13",16.7
"1981-01-14",21.5
"1981-01-15",25.0
"1981-01-16",20.7
"1981-01-17",20.6
"1981-01-18",24.8
"1981-01-19",17.7
"1981-01-20",15.5
"1981-01-21",18.2
"1981-01-22",12.1
"1981-01-23",14.4
"1981-01-24",16.0
"1981-01-25",16.5
"1981-01-26",18.7
"1981-01-27",19.4
"1981-01-28",17.2
"1981-01-29",15.5
"1981-01-30",15.1
"1981-01-31",15.4
"1981-02-01",15.3
"1981-02-02",18.8
"1981-02-03",21.9
"1981-02-04",19.9
"1981-02-05",16.6
"1981-02-06",16.8
"1981-02-07",14.6
"1981-02-08",17.1
"1981-02-09",25.0
"1981-02-10",15.0
"1981-02-11",13.7
"1981-02-12",13.9
"1981-02-13",18.3
"1981-02-14",22.0
"1981-02-15",22.1
"1981-02-16",21.2
"1981-02-17",18.4
"1981-02-18",16.6
"1981-02-19",16.1
"1981-02-20",15.7
"1981-02-21",16.6
"1981-02-22",16.5
"1981-02-23",14.4
"1981-02-24",14.4
"1981-02-25",18.5
"1981-02-26",16.9
"1981-02-27",17.5
"1981-02-28",21.2
"1981-03-01",17.8
"1981-03-02",18.6
"1981-03-03",17.0
"1981-03-04",16.0
"1981-03-05",13.3
"1981-03-06",14.3
"1981-03-07",11.4
"1981-03-08",16.3
"1981-03-09",16.1
"1981-03-10",11.8
"1981-03-11",12.2
"1981-03-12",14.7
"1981-03-13",11.8
"1981-03-14",11.3
"1981-03-15",10.6
"1981-03-16",11.7
"1981-03-17",14.2
"1981-03-18",11.2
"1981-03-19",16.9
"1981-03-20",16.7
"1981-03-21",8.1
"1981-03-22",8.0
"1981-03-23",8.8
"1981-03-24",13.4
"1981-03-25",10.9
"1981-03-26",13.4
"1981-03-27",11.0
"1981-03-28",15.0
"1981-03-29",15.7
"1981-03-30",14.5
"1981-03-31",15.8
"1981-04-01",16.7
"1981-04-02",16.8
"1981-04-03",17.5
"1981-04-04",17.1
"1981-04-05",18.1
"1981-04-06",16.6
"1981-04-07",10.0
"1981-04-08",14.9
"1981-04-09",15.9
